Column1,Year,NUTS ID,Country code,Name (latin characters),Yearly PM 2.5 average (µg/m³),Population estimate (GHSL 2020),0–5µg/m³ - population,5–10µg/m³ - population,10–15µg/m³ - population,15–20µg/m³ - population,20–25µg/m³ - population,25+ µg/m³ - population,0–5µg/m³ - percentage,5–10µg/m³ - percentage,10–15µg/m³ - percentage,15–20µg/m³ - percentage,20–25µg/m³ - percentage,25+ µg/m³ - percentage
183,2021,PL,PL,Polska,12.764042,38251151,0,1269361,23053199,13251924,676667,0,0,0.033184901,0.602679892,0.34644511,0.017690096,0
184,2022,PL,PL,Polska,11.882465,38251151,0,2801309,25662611,8950323,836907,0,0,0.07323464,0.670897762,0.233988327,0.021879272,0
185,2018,UKR,UKR,Ukraine,10.728402,42895179,0,4880531,32107949,4666235,1240464,0,0,0.11377807,0.748521152,0.108782281,0.028918497,0
186,2019,UKR,UKR,Ukraine,12.258314,42895179,0,731081,32182040,6773864,1128190,2080005,0,0.017043438,0.750248409,0.157916668,0.026301082,0.048490403
187,2020,UKR,UKR,Ukraine,9.933502,42895179,0,13292254,25477550,1500483,1488486,1136407,0,0.309877566,0.593949015,0.034980216,0.034700542,0.026492661
188,2021,UKR,UKR,Ukraine,8.781986,42895179,0,25818060,14993195,1557136,494519,32269,0,0.601887216,0.349530993,0.036300957,0.011528548,0.000752286
189,2022,UKR,UKR,Ukraine,8.158265,42895179,0,28686421,10937496,1214722,1147347,909194,0,0.668756281,0.254981931,0.028318383,0.026747686,0.021195719
190,2018,XKO,XKO,Kosovo,12.212737,1650631,0,9556,1412700,228375,0,0,0,0.005789198,0.855854694,0.138356107,0,0
191,2019,XKO,XKO,Kosovo,14.758473,1650631,0,5056,386350,1186891,72333,0,0,0.003063349,0.234061949,0.719053134,0.043821568,0
192,2020,XKO,XKO,Kosovo,15.096263,1650631,0,5675,269649,1144107,231200,0,0,0.003438362,0.163360876,0.69313296,0.140067803,0
193,2021,XKO,XKO,Kosovo,11.376485,1650631,0,91617,1544315,14699,0,0,0,0.05550441,0.93559069,0.0089049,0,0
194,2022,XKO,XKO,Kosovo,11.608991,1650631,0,28645,1576178,45808,0,0,0,0.017353879,0.954894081,0.02775204,0,0
195,2018,BIH,BIH,Bosnia and Herzegovina,12.1602,3286307,0,258199,1519679,1404276,104152,0,0,0.078568238,0.462427669,0.427311394,0.031692698,0
196,2019,BIH,BIH,Bosnia and Herzegovina,14.061203,3286307,0,163326,1048372,1261083,691731,121795,0,0.049698928,0.31901222,0.383738705,0.21048884,0.037061307
197,2020,BIH,BIH,Bosnia and Herzegovina,13.342844,3286307,0,112828,1024922,1399864,696337,52356,0,0.034332865,0.311876664,0.42596865,0.211890393,0.015931428
198,2021,BIH,BIH,Bosnia and Herzegovina,10.842807,3286307,0,524549,2496891,264867,0,0,0,0.159616536,0.759786391,0.080597073,0,0
199,2022,BIH,BIH,Bosnia and Herzegovina,11.545963,3286307,0,232669,1746388,1287062,20189,0,0,0.070799425,0.531413418,0.391643812,0.006143345,0
200,2018,MDA,MDA,Moldova,11.278433,3058794,0,0,3058794,0,0,0,0,0,1,0,0,0
201,2019,MDA,MDA,Moldova,13.143896,3058794,0,0,2816396,242398,0,0,0,0,0.920753614,0.079246386,0,0
202,2020,MDA,MDA,Moldova,11.083014,3058794,0,11211,2780854,266729,0,0,0,0.003665243,0.909134212,0.087200545,0,0
203,2021,MDA,MDA,Moldova,9.32301,3058794,0,2452173,606621,0,0,0,0,0.801679685,0.198320315,0,0,0
204,2022,MDA,MDA,Moldova,8.585012,3058794,0,2659959,398835,0,0,0,0,0.869610507,0.130389493,0,0,0
